
Genesis
                        ch. 1      1.13.7
                        ch. 1; 2      1.14.20
                        ch. 1; 2      1.14.20
                        1:1      1.14.20
                        1:2, cf Vg      1.13.14
                        1:2      1.13.22
                        1:3      1.13.8
                        1:3      1.16.2
                        1:3      2.14.8
                        1:11      1.16.2
                        1:14      1.16.2
                        1:26      1.13.24
                        1:26      1.15.3
                        1:27      1.11.14
                        1:27      1.15.3
                        1:27      2.1.1
                        1:27      2.1.1
                        1:27      2.2.1
                        1:27p      2.12.6
                        1:28      1.14.22
                        1:31      1.14.22
                        1:31      3.23.7
                        1:31      3.23.8
                        2:1      1.14.4
                        2:2      1.14.2
                        2:3      2.8.30
                        2:7      1.15.1
                        2:7      1.15.5
                        2:7p      2.14.8
                        2:9      3.10.2
                        2:9      4.14.18
                        2:17      3.2.7
                        2:18      2.8.41
                        2:18      4.13.3
                        2:21-24      4.19.34
                        2:22      4.13.3
                        2:23p      2.12.7
                        2:23 Vg      4.19.35
                        2:23-24      2.12.2
                        ch. 3      2.1.4
                        3:1-5      1.14.15
                        3:5      2.2.10
                        3:8      2.12.1
                        3:9      3.4.4
                        3:12      3.4.4
                        3:15      1.14.18
                        3:15      2.10.20
                        3:15      2.13.2
                        3:16-19      3.4.35
                        3:17      2.10.10
                        3:17      3.14.13
                        3:22p      4.14.12
                        3:22      4.14.18
                        4:4p      3.14.8
                        4:7p, cf Vg      2.5.16
                        4:8      2.10.10
                        4:10      3.2.7
                        4:13      3.3.4
                        6:3      3.14.1
                        6:5      2.2.25
                        6:6      1.17.12
                        6:18      4.14.6
                        6:22      2.10.10
                        7:1      PA5
                        8:21p      2.2.25
                        8:21      2.2.27
                        8:21      3.14.1
                        9:2      1.14.22
                        9:9      4.14.6
                        9:13-16      4.14.18
                        9:24-25      2.10.10
                        11:11      4.5.13
                        12:1      2.10.11
                        12:2-3      4.16.3
                        12:3      2.10.11
                        12:3      2.13.1
                        12:3      4.16.12
                        12:8      3.20.9
                        12:10      2.10.11
                        12:11ff      2.10.11
                        12:17      2.8.19
                        13:5-9      2.10.11
                        14:14-16      2.10.11
                        14:18      4.18.2
                        14:18      4.18.2
                        14:18 Vg      4.18.2
                        14:19      4.18.2
                        15:1p      1.17.6
                        15:1p      2.11.2
                        15:1      3.25.10
                        15:1      4.16.11
                        15:1      4.16.24
                        15:2      2.10.11
                        15:5      3.18.2
                        15:6      3.17.12
                        15:13      1.8.3
                        15:17      4.14.18
                        15:18      4.16.11
                        16:2      3.2.31
                        16:5      2.10.11
                        16:5      3.2.31
                        16:9      1.14.6
                        16:15      2.10.11
                        17:1      3.6.5
                        17:1      4.16.3
                        17:1      4.16.3
                        17:1ff      3.18.2
                        17:2      2.13.1
                        17:2      4.14.6
                        17:4      1.10.1
                        17:4      2.6.2
                        17:5      2.10.11
                        17:6      4.16.3
                        17:7      1.8.3
                        17:7, cf Vg      2.8.21
                        17:7p      2.10.9
                        17:7      2.13.1
                        17:7      4.15.20
                        17:7      4.15.20
                        17:7      4.16.3
                        17:7      4.16.12
                        17:7      4.16.24
                        17:8      4.16.3
                        17:10      4.14.20
                        17:10      4.16.3
                        17:11      4.16.24
                        17:12      4.15.20
                        17:12      4.16.5
                        17:12      4.16.6
                        17:12      4.16.30
                        17:13      4.17.21
                        17:13p      4.17.22
                        17:14      4.16.6
                        17:14      4.16.9
                        18:1      1.14.5
                        18:2      1.14.9
                        18:18      2.13.1
                        18:18      3.18.2
                        18:23      3.20.15
                        18:25      3.23.4
                        18:27      1.1.3
                        18:27      1.15.1
                        20:1ff      2.10.11
                        20:3 Vg      1.17.14
                        20:3      2.8.19
                        20:7 Vg      1.17.14
                        20:18      2.8.19
                        21:2      2.10.11
                        21:9ff      2.10.11
                        21:10      4.2.3
                        21:12      3.22.5
                        21:24      2.8.27
                        21:25-31      2.10.11
                        22:1      3.8.4
                        22:1      3.20.46
                        22:1ff      2.10.11
                        22:3      3.18.2
                        22:8      1.16.4
                        22:11-12, cf Vg      1.14.5
                        22:12      3.8.4
                        22:16-18p      3.18.2
                        22:18      2.13.1
                        22:18      4.14.21
                        23:4      3.25.8
                        23:19      3.25.8
                        24:7      1.14.6
                        24:7      1.14.12
                        24:12      1.14.12
                        24:40      3.14.19
                        25:23      3.22.4
                        26:1      2.10.12
                        26:4      2.13.1
                        26:7ff      2.10.12
                        26:12ff      2.10.12
                        26:25      3.20.9
                        26:31      2.8.27
                        26:34-35      2.10.12
                        ch. 27      3.2.31
                        27:9      3.2.31
                        27:27      3.11.23
                        27:28      3.3.25
                        27:40      3.3.25
                        27:41      2.10.14
                        27:41ff      2.10.12
                        27:41-45      2.10.12
                        28:1      2.10.12
                        28:5      2.10.12
                        28:12      1.14.12
                        28:12      2.9.2
                        28:18      1.11.15
                        28:20-22      4.13.4
                        29:15ff      2.10.12
                        29:20      2.10.12
                        29:23-26      2.10.12
